name;kind
Receiving client orders;process
Receiving KK layout;process
Receiving inventory allocation;process
Decide KK workload distribution;process
Arrival of VKs from auction;process
Flower check-in (scan VK);process
Print WMS sticker;process
Scan printed WMS sticker;process
Check in scanned LEs into WMS system;process
Move LE from VK to OK;process
Move OKs to OPBW;process
Check-in of OK at build-up station;process
Receive sorting instructions;process
Move first KK from queue at to OPBWxx Sorting Station;process
Show current LE to pick on SF Overhead Sorting Display;process
Scan LE in OK;process
Move LE from OK to KK;process
Scan KK to confirm;process
Move KK from STOR to OPBWxx queue;process
Determine KK ready by SF-OPBW;process
Task dispatch to move KK to EXCH;process
Move finished KK to EXCH;process
Decouple finished KK;process
Arrival of empty KKs;process
Scan incoming KK to check it in;process
Move checked-in KKs to STOR;process
Flow corrections;process
Station corrections;process
Robot breaks & charging;process
Real-Time Database;software
Historical Database;software
Alarms Database;software
Merge LUs Cart;software
Container Move;software
LU info;software
Container info;software
BG Booking;software
Multi-Container Move;software
Mark LU as Priority;software
LU Move;software
Empty Container to Infeed;software
Move Container from Outbound;software
Add Empty Container;software
SF-RCVG;software
SF-OPBW;software
Maintenance Service;software
Host Communicator;software
Actemium Service Manager;software
Actemium Alarms Manager;software
WMS/WCS API & BarcodeHandler API;software
Actemium Lowpad Communicator;software
Actemium Data Notifier;software
Fleet Manager;software
Nicelabel Integration;software
Florisoft;software
Host Integration;software
Location Management;software
Container Management;software
Inventory Management;software
Order Management;software
Task Management;software
Task Manager Service;software
Alarm Management/Overview;software
Logs;software
Host Interface Diagnostics;software
Job Creator;software
Job Dispatcher;software
Job Watcher;software
Customer Allocation Management;software
KK is Ready Algorithm;software
Management Screens;software
KK (OutputCart);hardware
VK (InputCart);hardware
OK (StorageCart);hardware
Lowpad Charging Station;hardware
Lowpads (robots);hardware
RCVG (Input Positions);hardware
EXCH (Output Positions / Checking System);hardware
Mobile Stations (Checking & Receipts);hardware
Mobile Terminal;hardware
OPBWxx Sorting Positions;hardware
OPBWxx queue;hardware
SF Overhead Sorting Display;hardware
Label Printer (OPBW);hardware
FingerScanner;hardware
Label Printer (input);hardware
LE (Logistical Units BK/BG/OK/KoV);hardware
Crate (with BK/BG/KoV);hardware
Sorting employee;hardware